Code,Title,Description
2212.15,Being developed to exposed shaved skin,"Pharmacologist area of test animal and observes and examines skin periodically for possible Pharmacologist studies effect of drugs on development of abnormalities, human beings and animals and evolves inflammation, or irritation. Injects formula for manufacture of drugs and ingredient into test animal, using medicines for prevention and treatment hypodermic needle and syringe, and of diseases. Experiments with animals periodically observes animal for signs of such as dogs, cats, rabbits, rats, mice, toxicity. Injects antidotes to determine guinea pigs, etc. To determine effects of which antidote best neutralizes toxic various chemical substances on their vital effects. Tests and analyses blood samples processes and their influence in activating for presence of toxic conditions, using and retarding various life processes such microscope and laboratory test as circulation, respiration, digestion, etc. Dissects dead animals, using Renders assistance in evolving and surgical instruments, and examines organs standardizing techniques of synthesizing to determine effects of cosmetic and extracting useful chemical substances ingredients being tested. Prepares formal used in prevention and treatment of reports of test results. Diseases of man and animals. Standardizes dosage of drugs and methods of. 1700 causes and effects of malaria in laboratory Pathologist, Medical by microscopic, biochemical and biological techniques in mosquitoes, mammals and other suitable animals to determine Pathologist, Medical conducts chemical, nature of disease, its pathological aspects microscopic and bacteriological tests in and process of immunization as laboratory and examines blood, tissues, consequence of protracted attacks of urine etc. Of patients to find out causes of malaria. Studies effects of insecticides on diseases. Obtains specimens of body mosquitoes to evolve better techniques of material such as blood, tissues and other their utilisation. Studies biology of secretion of human body from patient and mosquitoes, nature of its blood-meal and makes appropriate tests to determine transference of malaria parasite to human source and nature of disease or disorder body. Conducts surveys of malaria by using microscope and other infested areas and arranges spraying of instruments. Diagnoses nature of disease insecticides and treatment of malaria on basis of chemical analysis and reports cases. May conduct night blood and findings to Physician for treatment of entomological surveys and institutes patient. Plans and conducts experiments suitable anti-larval and others remedial on suitable animals to study pathological measures. May specialize in any field of processes. Performs autopsies (post malariology, filariology, chemotherapy, mortem examinations of body) to study serology, epidemiology, protozoology, etc. Structural changes for correlating functional disorders of body. Reports their findings in medical journals etc. May specialize in study of pathology on specific Code 2212 fields of human organism such as Title Special Medical haematology, Virology, Histopathology Practitioners (microscopic recognition of disease condition of tissues removed at operation 2212. 1900 or autopsy), chemical pathology etc. And Physiologist, Medical may be known as Haematologist, Virologist, Histopathologist, Chemical Physiologist, Medical studies normal Pathologist, etc. Functioning of different organs and tissue of human body and investigates effect of Practitioners vital functions. Conducts experiments on suitable animals to study effects of 2212. 1800 changing physical conditions on vital Malariologist, Medical functions of body such as digestion excretions, genitals, cardiac system etc. Malariologist, Medical conducts research studies limits of physical endurance and on causes and effects of malaria in human physiological reactions under extreme system by studies in laboratory and environmental conditions due to altitude;,. , using people who are physically or mentally ill, microscope or other instruments and disabled or infirm, and others in need of finds cause and prevention of functional care due to potential risks to health abnormality. Records and reports findings including before, during and after and uses them as basis for research into childbirth. They assume responsibility for related problems. May specialize in study the planning, management and evaluation of any physiological system and be known of the care of patients, including the as Neurophysiologist who specializes in supervision of other health care workers, physiology of human nervous system, working autonomously or in teams with Cardiovascular Physiologist who medical doctors and others in the specializes in physiology of human practical application of preventive and circulatory systems etc. May conduct curative measures. Experiments to solves particular problems relating to human life. Occupations in this Group are classified into the following Families: Practitioners"
2212.99,Nursing Professionals,"Specialist Medical Practitioners, Other Nursing Professionals provide treatment, support and care services for people who Pharmacologists, Pathologists and Related are in need of nursing care due to the Professionals, Other include all other effects of ageing, injury, illness or other Pathologists, Pharmacologists, and related physical or mental impairment, or scientists engaged in research in particular potential risks to health. They assume fields for practical application of results responsibility for the planning and thereof, and manufacture of crude management of the care of patients, vaccines, not elsewhere classified. Including the supervision of other health care workers, working autonomously or in teams with medical doctors and others in the practical application of preventive and curative measures"
2221.01,"Nurse, Specialist","Nurse, Specialist specializes in particular Nursing and Midwifery type of professional nursing in hospital, Professionals clinic, sanatorium or similar medical establishment. Performs tasks similar to Nursing and Midwifery professionals those of Nurse General, but specializes in provide treatment and care services for particular branch of nursing such as. 2230 Traditional and Complementary Medicine Professionals Traditional and Complementary Medicine Professionals"
2221.99,Professional Nurses,"Traditional and Complementary Medicine Professionals prevent, diagnose and treat Professional Nurses, Other include all illness, disease, injury, and other physical other Nurses engaged in treatment of and mental impairments and maintain patients, disabled persons and invalids, general health in humans by applying not elsewhere classified. Knowledge, skills and practices acquired through extensive study of the theories, beliefs and experiences, originating in specific cultures"
2230.01,Family 2222,"Physician, Ayurveda Midwifery Professionals Physician, Ayurveda; examines patients by Midwifery Professionals plan, manage, interrogation, sight, feeling pulse rate etc. Provide and evaluate midwifery care to diagnose ailment and prescribes services before, during and after necessary medicines according to pregnancy and childbirth. They provide Ayurveda system of treatment. Questions delivery care for reducing health risks to patient about nature of ailment, previous women and new-born children, working history of disease and ascertains condition autonomously or in teams with other of bowel movement, appetite, etc. Health care providers. Diagnoses ailments by feeling pulse, examine abdomen, colour of skin, eyes, stool and sputum, if necessary and applies Traditional and Complementary findings for diagnoses and treatment. Medicine Professionals Decides time of treatment and prescribes medicines with instructions regarding Traditional and Complementary Medicine their use and precautions especially with Professionals prevent, diagnose and treat regard to diet to be observed. May illness, disease, injury, and other physical prescribe medicines for general and mental impairments and maintain improvement of health and prevention of general health in humans by applying diseases. May prepare and sell tonics, knowledge, skills and practices acquired patent and other indigenous medicines through extensive study of the theories, such as `Bhasams , Asavs (extracts of beliefs and experiences, originating in medicinal herbs), etc. Specificcultures. Prescribes bio-chemic medicines along with necessary instructions, 2230. 0200 regarding diet, physical precautions etc. Keeps case history of patients and Physician, Homeopathic treatment prescribed. May consider results of X-ray and pathological Physician, Homoeopathic examines examinations for proper diagnosis. Patients to diagnose ailments and prescribes necessary medicines according to homeopathic system of treatment. Records history of disease or disorder, and patients and his (both paternal Medicine Professionals and maternal) past and present, mental and physical reaction to heat, cold, food"
2230.04,". by careful questioning, and obtains","Complete subjective and objective picture Physician, Unani of symptoms expressed. Prescribes homoeopathic medicine to treat patient Physician, Unani; Hakim examines for symptoms exhibited. Instructs patients patients to diagnose ailments and on diet restrictions during course of prescribes necessary medicines according treatment. Keeps case history of patient to unani system of treatment. Enquires and treatment prescribed along with patientsabout the nature of theirailment, progress report. Prescribes prophylactics habits, previous history of their diseases, in course of epidemics to safeguard hereditary factors and interrogates them against spread of infectious diseases and about their appetite, bowel movement instructs healthy persons on general and any other discharges etc. Feels hygienic principles for preservation of patients pulse and examines their health. May consider results of X-ray, abdomen, chest, liver, spleen, urine, stool clinical and pathological examination for and sputum if considered necessary. Proper diagnosis. May dispense Diagnoses disease and prescribes homoeopathic drugs and medicines singly medicines according to patients and potentised form. Gives necessary Medicine Professionals medicines such as Kushtas (ashes of burnt metal) Maul Laul Lahm (extracts from 2230. 0300 bird meat, fruits, etc. Physician, Bio-Chemic/Bio Chemist Qualification Pack Details: QP NOS Reference Physician, Bio-chemic examines patients QP NOS Name to diagnose ailments and prescribes NSQF Level necessary medicines according to bio- chemic system of treatment. 9900 more limited in scope and complexity Traditional Medicine Practitioners, than those carried out by medical doctors. Other They work autonomously, or with limited supervision of medical doctors, and apply advanced clinical procedures for treating Traditional Medicine Practitioners, other and preventing diseases, injuries and treat human ailments by herbs, medicinal other physical or mental impairments plants and other techniques not common to specific communities. Elsewhere classified. Qualification Pack Details: 2240. 0100 QP NOS Reference Laboratory Assistant, Clinical QP NOS Name NSQF Level Laboratory Assistant, Clinical; Medical Laboratory Technician arranges and sets Medicine Professionals conducts routine tests of blood, urine, sputum etc. For medical purposes and for Paramedical Practitioners required apparatus and equipment and makes necessary electrical connections. Prepares standard solutions, reagents, Paramedical Practitioners provide media for culture etc. By weighing, advisory, diagnostic, curative and grinding, mixing and dissolving prescribed preventive medical services for humans proportion of sample or chemical in water more limited in scope and complexity or other liquids etc. Collects samples such than those carried out by medical doctors. As water, urine, blood, sputum etc. In They work autonomously or with limited clean and sterile containers or slides for supervision of medical doctors, and apply bacteriological, pathological or biological advanced clinical procedures for treating study. Assists in conducting routine test of and preventing diseases, injuries and urine, stool, sputum or blood to other physical or mental impairments determine sugar content, germs or worms common to specific communities. Or blood groups as required. Mounts and prepares slides with specimens for Occupations in this Group are classified microscopic study by physicians and into the following Families: specialists. Washes, cleans and dries apparatus and equipment after use and 2240 ParamedicalPractitioners maintains them in proper working condition. Keeps required chemicals and solutions readily available and replenishes. Maintains laboratory in NSQF Level 4 clean and tidy condition. May maintain record of types of tests performed and"
2240.04,Dresser,"Emergency Medical Technician-Advanced needs to provide emergency medical Dresser dresses wounds, cuts, sores, boils support and care to individuals who are etc. And applies ointment, liniments, and critically ill or injured and transport them paints and gives first aid in emergency to a medical facility within stipulated time cases. Cleans wounds, cuts, sores with limits. Antiseptic material and applies ointments, paints, gauze, lint or other sterile material Qualification Pack Details: as prescribed by Surgeon, or under QP NOS Reference HSS/Q2302 medical advice. Touches throat with QP NOS Name Emergency Medical throat-paint, drops medicine, in eyes, Technician- nose or ears. Bandages wounds and other Advanced affected part of body. May massage any NSQF Level 5 part of body under guidance of doctor. May prepare patients for operations and give them pre-operational care"
2240.0501,Emergency Medical Technician,"Paramedical Practitioners, Other include Basic practitioners who provide advisory, diagnostic, curative and preventive Emergency Medical Technician-Basic medical services for humans not needs to provide emergency medical elsewhere classified support and care to individuals who are critically ill or injured and transport them. Qualification Pack Details: QP NOS Reference HSS/Q2301 QP NOS Name Emergency Medical Veterinarians Technician-Basic. To assist development of diseases, injuries and dysfunctions of insecticides. Observes action of bacteria animals. They may provide care to a wide on living tissues. Makes chemical analysis range of animals or specialize in the of culture solution of bacteria and treatment of a particular animal group or determines biochemical properties of in a particular specialty area, or provide bacteria to assess its importance in professional services to commercial firms causing diseases. Prepares reports on producing biological and pharmaceutical findings to be utilised for further research. Conducts post-mortem examination of dead animals to determine causes of Occupations in this Group are classified death. May prepare serum and vaccine for into the following Families: prevention of various diseases. Is designated as Veterinary Bacteriologist if 2250 Veterinarians specialized in conducting research in miral, rickettsial and fungal disease of animals and evolving their preventive measures. Veterinarians Veterinarians diagnose, prevent and treat diseases, injuries and dysfunctions of animals. They may provide care to a wide range of animals or specialize in the"
2250.02,Treatment of a particular animal group,"Veterinarian, General in a particular specialty area, or provide professional services to commercial firms Veterinarian, General Veterinary Doctor producing biological and pharmaceutical investigates and treats diseases, injuries products. And ailments in animals and undertakes measures to improve livestock"
2250.01,"Animals for sickness, injuries","Animal Pathologist ailments to determine course of treatment and attends to them including Animal Pathologist conducts research in surgical cases where necessary. Conducts animal diseases and records findings to castration, artificial insemination and facilitate diagnosis and treatment of sick treatment of infertility for controlled and animals. Studies nature and causes of better breed. Inoculates domestic animal diseases. Examines tissues and animals, poultry, pet animals periodically others diseased parts of animals using against epidemics. Investigates causes of microscope to diagnose disease. Conducts outbreaks of infections and takes pathological serological and preventive measures. Advises owners of bacteriological tests regarding origin and animals in correct methods of breeding, development of diseases; investigates feeding, rearing and disease control. Causes of disease and effect of disease Conducts research in laboratories on such germs such as parasites, bacteria, virus subjects as pathology, anatomy etc. Conducts research on Performs post-mortem of dead animals to ectoparasites like mosquitos, flies, lice, determine causes of death. Selects animals of required character meat for any disease or infection. May to cross different breeds to get required conduct cattle and poultry shows, strains by natural breeding or artificial competition and calf rallies. Maintains charts and records of crossings and breeds of animals designated as Animal Gynaecologist, if 2250. 0300 specializes in genetic diseases and artificial inseminated sterilityin animals. Veterinarian, Surgeon Veterinary, Surgeon treats injuries and diseases of animals by surgical methods. Examines sick or injured animals to diagnose nature of injury, disability or"
2250.05,Sickness and determines course,"Gives injections to animals Zoo Veterinarian where necessary. Operates affected part of body and prescribes necessary Zoo Veterinarian plans, directs, and medicines. May take X-ray photograph of participates in health care programme of injured and affected part of body of veterinary clinic in zoo. Establishes and animal. May set dislocated joints and conducts effective quarantine and testing fractured bones by applying plaster of procedures for all incoming animals to Paris, splints of wood and bandaging ensure health of collection, prevent them. Spread of disease, and comply with government regulations. Conducts communicable diseases. 0400 immediate medical attention to diseased or traumatised animals. Participates with Animal Geneticist other personnel in planning and executing nutrition and reproduction programmes Animal Geneticist, Animal Breeder for animals in zoo. Develops special conducts research in animal genetics and programmes to encourage reproduction deals with problems concerning evolution among animals designated as endangered of new breeds, rearing of livestock, species, based on knowledge of native genetically control of disease, artificial habitat and instincts. Participates in insemination, sterilization etc. Studies employee training in handling and care of inherent traits in animals and analyses animals. Conducts post-mortem studies their causes such as environment, food, and analyses. Co-operates with zoo and colour, growth, maturity, sterility, disease aquarium personnel to exchange etc. Conducts experiments to develop information concerning care of animals, to better variety or strain of animal to resist arrange transfer, sale, or trade of animals, disease, increase yield of milk, meat, egg. Acts as consultant physiotherapy, nutrition, hearing, speech, to veterinarians in general practice vision and rehabilitation therapies. This seeking advice in treatment of exotic minor group includes all human health animals. Professionals, except doctors, traditional andcomplementary medicine Occupations in this Group are classified 2250. 0600 into the following Families: Veterinarian, Poultry 2261 Dentists 2262 Pharmacists Veterinarian, Poultry advises individual poultry raisers on poultry problems: 2263 Environmental and Occupational Gathers from owner information on care, Health and Hygiene Professionals condition, performance, and action of 2264 Physiotherapists birds. Inspects flocks, pens, and housing. 2265 Dieticians and Nutritionists Diagnoses disease and prescribes 2266 Audiologists and Speech Therapists treatment. Culls undesirable birds from 2267 Optometrists and Ophthalmic flock. Suggests feed changes to increase Opticians egg production or growth of fowls. 2269 Health Professionals, Not Elsewhere Classified Dentists"
2250.99,"Veterinarians, Dentists diagnose, treat and prevent","Diseases, injuries and abnormalities of the Veterinarians, Other include all other teeth, mouth, jaws and associated tissues veterinarians engaged in research and by applying the principles and procedures treatment of birds and animals, not of modern dentistry. They use a broad elsewhere classified. Range of specialized diagnostic, surgical and other techniques to promote and Dentist Other Health Professionals Dentist, Dental Surgeon treats surgically and medically diseases and disorders of teeth, gums and soft tissues of mouth. Other Health Professionals provide health Examines mouth and teeth of patients by services related to dentistry, pharmacy,. Examines results of facial structures: Plans treatment, using tests and adjacent tissues for minor cephalometric, height, and weight diseases. Cleans teeth and cavities using records, dental x rays, and front and scalers, excavators, dental engine, etc. As lateral dental photographs. Designs and necessary. Fills cavities with cement, fabricates appliances, such as space metal or plastic and ensures proper filling maintainers, retainers, and labial and by observation and easy feel in chewing lingual arch wires, to alter position and by patient. Gives local or general relationship of teeth and jaws, and to anaesthetics as necessary and prepares realign teeth to produce and maintain mouth for operation. Extracts loose normal function. Decayed or impacted teeth using surgical instruments. Renders after care. Advises patients on Code 2261 various corrective dental measures and on Title Dental Specialists general dental health"
2261.04,Periodontist,Periodontist diagnoses and treats inflammatory and destructive diseases of
2261.02,Investing and supporting tissue of teeth.,"Oral and Maxillofacial Surgeon Cleans and polishes teeth, eliminates irritating margins of fillings, and corrects Oral and Maxillofacial Surgeon performs occlusions. Performs surgical procedures surgery on mouth, jaws, and related head to remove diseased tissue, using dental and neck structure. Executes difficult and instruments. Establishes recall treatment multiple extraction of teeth. Removes programmes to monitor oral health tumours and other abnormal growths. Performs pre-prosthetic surgery to prepare mouth for insertion of dental. Corrects abnormal jaw Code 2261 relations by mandibular or maxillary Title Dental Specialists revision. Treats fractures of jaws. Administers general and local 2261. 0500 anaesthetics. May treat patients in Prosthodontist hospital. Prosthodontist restores and maintains oral functions. Records physiologic position of jaws to determine shape and size of dental prostheses, using face bows, dental articulators, and other recording"
2261.03,Devices. Replaces missing teeth,"Orthodontist associated oral structures with artificial. Corrects natural and Pharmacists store, preserve, compound, acquired deformation of mouth and jaws and dispense medicinal products and through use of prosthetic appliances. Counsel on the proper use and adverse effects of drugs and medicines following preparing, prescribing and monitoring 2261. 0600 medicinal therapies for optimising human Paediatric Dentist health"
2262.01,Paediatric Dentist provides dental care,"Infants, children, and adolescents. Chemist, Pharmaceuticals Fabricates space maintainers designed for patients. Treats primary and secondary Chemist, Pharmaceutical; directs and teeth and constructs and places bridges, supervises manufacture of drugs and dentures, and obturating appliances other pharmaceutical products such as suitable for growing arches. Manages tablets, syrups, ointments etc. According patients with behavioural problems or to prescribed formulae. Assembles various handicapping conditions. Counsels and chemical ingredients in required advises patients and family on growth and quantities to prepare medical compounds development of dental problems of according to prescription of Physicians, patient. Provides preventive services Dentists and Veterinarians, and analyses through use of fluorides and sealants and them if necessary, to ascertain their instructs patient and family members on conformity to prescribed standards. Mixes dental care. Ingredients according to standard formulae either manually or by specifications. Performs experiments to 2261. 9900 formulate new pharmaceutical combinations, develops new products and Dental Specialists, Other studies their stability. Supervises production and carries out investigation Dental Specialists, Other include all other to improve manufacturing process for dental specialists who apply medical syrups, drugs, antibiotics, vitamins, knowledge in the field of dentistry not vaccines etc. Procures pharmaceutical elsewhere classified. Products and ensures their proper storing in specified conditions. May work as Medical Representative by explaining composition and uses of drugs to customers in order to increase sales. 0101 infectious disease, maintains sanitary Chemist, Pharmaceuticals conditions according to prescribed standards within specified area and promotes community efficiency of Chemist, Pharmaceuticals prepare physical, mental and social health directions for factory workers, supervise standards. Supervises medical facilities production process to ensure that the provided through hospitals, dispensaries, desired product yield is achieved. Analyse child welfare and maternity centres. Raw material samples and finished Regulates, restricts and controls sale of products, record planned deviations and eatables, location and working condition co-ordinate with QA and QC team for of cinemas, factories and other reports. Provide feedback to the establishments affecting public health and Production Operators and assists in sanitation through licenses and by developing new methods to work in a prescribing health and sanitation more efficient manner. Conducts regular and periodical inspection of public eating Qualification Pack Details: houses, premises and public QP NOS Reference LFS/Q0202 conveniences. Checks food adulteration QP NOS Name Production Chemist and prosecutes offenders. Organizes anti- NSQF Level 5 epidemic measures for prevention and control of outbreaks of epidemics and infectious diseases such as Cholera, smallpox, typhoid, measles, etc. And maintains vital statistics. Ensures safe water supply for drinking and other uses Environmental and Occupational Supervises and checks disposal of dead Health and Hygiene Professionals bodies by cremation or burial or grants permission for their removal outside corporation areas. Conducts publicity Environmental and Occupational Health campaigns periodically to disseminate and Hygiene Professionals assess, plan knowledge of health and hygiene. And implement programmes to recognize, Organizes school health service and public monitor and control environmental health laboratories. May initiate and factors that can potentially affect human conduct special campaigns against health, to ensure safe and healthy mosquitoes, flies, insects, and rodents etc. Working conditions, and to prevent to prevent spread of infectious diseases. Disease or injury caused by chemical, May participate in town planning activities physical, radiological and biological agents of local body. Or ergonomic factors"
2263.01,Health Officer,"Health and Hygiene Professionals. Administers Physiotherapists fiscal operations, such asbudget planning, accounting, and establishing rates for Physiotherapists assess, plan and health care services. Directs hiring and implement rehabilitative programmes training of personnel. Negotiates for that improve or restore human motor improvement of and additions to buildings functions, maximize movement ability, and equipment. Directs and co-ordinates relieve pain syndromes, and treat or activities of medical, nursing, and prevent physical challenges associated administrative staff and services. Develops with injuries, diseases and other policies and procedures for various impairments. They apply a broad range of establishment activities. May represent physical therapies and techniques such as establishment at community meetings movement, ultrasound, heating, laser and and promote programmes through other techniques. Various news media. May develop or expand programmes or services for"
2264.01,"Scientific research, preventive medicine","Physiotherapist medical and vocational rehabilitation, and community health and welfare promotion. Physiotherapist treats patients suffering from metabolic diseases, body injuries, stiffness, paralysis, neuritis, etc. By massage, exercise and use of heat, light, Health and Hygiene Professionals water, electricity and special therapy machines and techniques"
2263.99,Instructs patients on performance,"Environmental and Occupational corrective, reducing and other physical Health and Hygiene Professionals, exercises. Other Safety, Health and Quality Inspectors, Code 2264 Other include associate professionals who Title Physiotherapists are engaged in occupational safety, and safety of production processes, or of 2264. 0200 goods produced, used or sold, and ensure Occupational Therapist compliance with health and environment protection rules and regulations, as well Occupational Therapist helps general as with the quality standards and treatment and recovery of patients specifications of manufacturers not suffering from tuberculosis, rheumatism, elsewhere classified. Industrial accidents, blood pressure, heart trouble, etc. By engaging them as guided. Qualification Pack Details: NSQF Level 4"
2264.03,Chiropodist; Pedicurist treats foot dis Title Physiotherapists,"Abilities and abnormalities. Removes cams, bunions, blisters, etc. Using surgical 2264. 9900 instruments. May also give warm foot Physiotherapists and Related baths, remove hard skin from under heel Associate Professionals, Other and sole and give foot massage. Physiotherapists and Related Associate Professionals, Other include all other the circulatory or the nervous system not 2264. 0400 elsewhere classified. Masseur Masseur; Masseuse massages by hand or Code 2264 machine various parts of body to remove Title Physiotherapists stiffness, sprains and pains or to generally to tone up muscles by improving blood. Dieticians and Nutritionists Dieticians and Nutritionists assess, plan and implement programmes to enhance the impact of food and nutrition on human health"
2264.0401,Sports Masseur 2265.0100,"Nutritionist, General Sports Masseur is also known as sports therapist or massage therapist or sports Nutritionist, General organizes, plans and massager. The responsibilities of the conducts programmes concerning Sports Masseurs include manipulating nutrition to assist in promotion of health muscle tissues to release tension, reduce and control of disease. Instructs auxiliary pain, restore range of movement, ensure medical personnel and allied professional timely recovery and promote good body workers on food values and utilisation of. Advises health and Qualification Pack Details: other agencies on nutritional phases of QP NOS Reference HSS/Q5201 their food programmes. Studies and QP NOS Name Dietician analyses scientific discoveries in nutrition Assistant for adaptation and application to various NSQF Level 4 food problems. Interprets and evaluates"
2265.03,Animal Nutritionist,Animal Nutritionist studies composition
2265.02,And nutritive values of animal feeds,"Dietician, General frames balanced diets and feeding schedules for different kinds of animals. Dietician, General plans, supervises and Studies habits of animals in regard to type instructs in preparation of therapeutic or and quantity of feed consumed to other diets for individuals or groups, in determine their effect on size, weight, and hospitals, institutions or other development, strength and yield of milk, establishments. Determines diet values of meat, wool, eggs etc. Experiments food and food products. Plans the menu nourishing of animals with different types and special diets with proper nutritional of feeds and records improvement and value. Estimates and purchases required growth. Prescribes correct feed such as food, equipment and supplies. Ensures greens, dry or preserved hay or leaves, that food is properly prepared and grass, oats or mixed feed etc. For different sanitary conditions are maintained in types of animals for better yield of milk, cooking and catering places. Instructs meat etc. Develops feed mixture for individuals and groups in applying commercial purposes. Classifies types of principles of nutrition for selection and plants harmful to animals as feed. May preparation of food. May prepare treat sick animals by regulating and educational materials on nutrition. May prescribing specific feed. May analyse specialize in any particular branch of feed samples to determine protein, dietetics, and be designated accordingly. Carbohydrate, fat, mineral and vitamin contents and trace elements"
2265.0201,Dietician Assistant 2265.9900,"Dieticians and Nutritionists, Other Dietician Assistant prepares diet, diet regulations, food handling, safety and Dieticians and Nutritionists, Other include sanitary standards and certain all other Dieticians and Nutritionists administrative functions. Engaged in scientific research, preparation. Designed to restore or improve communicative efficiency developed in of desirable speech habits by training in counselling and guidance to speech- Audiologists and Speech Therapists impaired persons. Counsels family concerning social and psychological Audiologists and Speech Therapists problems associated with speech evaluate, manage and treat physical disabilities. May refer patient to physician disorders affecting human hearing, or surgeon if medical treatment is speech, communication and swallowing. Determined necessary. They prescribe corrective devices or rehabilitative therapies for hearing loss, speech disorders, and related sensory and neural problems and provide counselling on hearing safety and communication performance"
2266.02,Speech Therapist and Audiologist,"Speech Pathologist specializes in diagnosis and treatment of speech and language Speech Therapist and Audiologist problems, and engages in scientific study determines type and degree of hearing of human communication. Diagnoses and impairment and implements facilitation evaluates speech and language skills as and rehabilitation services for patient. Related to educational, medical, social, Administers and interprets variety of and psychological factors. Plans, directs, tests, such as air and bone conduction, or conducts habilitative and rehabilitative and speech reception and discrimination treatment programmes to restore tests, to determine type and degree of communicative efficiency of individuals hearing impairment, site of damage, and with communication problems of organic effects on comprehension and speech. And non-organic etiology. Provides Evaluates test results in relation to counselling and guidance and language behavioural, social, educational, and development therapy to differently-abled medical information obtained from individuals. Administers, scores, and patients, families, teachers, Speech interprets specialized hearing and speech Pathologists and other professionals to tests. Develops and implements determine communication problems individualised plans for assigned clients to related to hearing disability. Plans and meet individual needs, interests, and implements prevention, habilitation, or abilities. Evaluates and monitors rehabilitation services, including hearing individuals, using audio-visual equipment, aid selection and orientation, counselling, such as tape recorders, overhead auditory training, lip reading, language projectors, filmstrips, and demonstrative habilitation, speech conservation, and. Reviews treatment plans, and Title Audiologists and Speech Therapists assesses individual performance to modify, change, or write new 2266. 0401 programmes. Attends meetings and Speech Language Pathologist and conferences and participates in other Audiologist activities to promote professional growth. Instructs individuals to monitor their own Speech Language Pathologist and speech and provides ways to practice new Audiologists are professionally trained to skills. May act as consultant to screen, identify, assess, diagnose, refer, educational, medical, and other and provide intervention and counselling professional groups. May conduct to persons with articulation, fluency, research to develop diagnostic and voice, language, communication, hearing, remedial techniques May teach manual swallowing, and related disabilities. They sign language to student incapable of help children and adolescents with speaking. May instruct staff in use of language disorders to understand and give special equipment designed to serve directions, convey ideas, and improve persons who are differently-abled. Language skills that lead to better academic performance. They also evaluate and treat person with swallowing disorders that may result from illness, surgery, stroke, or injury"
2266.03,Qualification Pack Details,"Voice Pathologist QP NOS Reference HSS/Q7601 QP NOS Name Speech Language Voice Pathologist diagnoses and treats Pathologist and voice disorders, such as those associated Audiologist with professional use of voice. Develops NSQF Level 4 and implements perceptual evaluation procedures and psychophysical methods. Collects diagnostic data on individuals, such as output pressures, airflow, chest wall movements, and articular and laryngeal displacement, using scopes and other measuring Optometrists and Ophthalmic instruments. Analyses and interprets diagnostic data and consults with other Opticians professionals to determine method of treatment, such as surgery, vocal Optometrists and Ophthalmic Opticians modification, or voice therapy. Plans and provide diagnosis, management and conducts voice therapy sessions, applying treatment services for disorders of the auditory, visual, kinematic, and eyes and visual system. They counsel on biofeedback techniques. Eye care and prescribe optical aids or other therapies for visual disturbance. As necessary for recovery. Optometrists and Opticians, Other include those who prescribe and fit glasses and"
2269.02,Opticians treats diseases and injuries of human,"Body, relying upon accepted medical and Health Professionals, Not determine symptoms attributable to impairments in musculoskeletal system. Elsewhere Classified Corrects disorders and afflictions of This unit group covers health bones, muscles, nerves, and other body professionals not classified elsewhere in systems by medicinal and surgical sub-major. Procedures and, when deemed beneficial, For instance, the group includes manipulative therapy. Employs diagnostic occupations such as podiatrist, images, drugs, and other aids to diagnose and treat bodily impairments. May occupational therapist and other health practice medical or surgical speciality"
2269.01,Naturopath,"Elsewhere Classified Naturopath Physician, Metropathy; examines patients to diagnose ailments"
2269.03,And prescribes necessary treatment,"According to science of nature cure. Physician, Siddha Enquires patients about the nature and symptoms of ailment, previous history of Physician, Siddha examines patients by their disease and keeps them under interrogation, sight, feeling pulse rate, etc. Conducts routine tests to and uses panjabutha theory,96 thathuvas, determine pulse rate, blood pressure, 8 kinds of tests to diagnose ailments and temperature, condition of heart, lungs, prescribes necessary medicines according liver, etc. Diagnoses ailment and to Siddha System of treatment. Questions determines type of treatment to be patients about nature of ailment, previous administered such as Cosmo therapy, history of disease, etc. Diagnoses ailments hydrotherapy, mud therapy etc. And by feeling pulse, examining abdomen, advises patient for sun bathing, tub colour of skin, eyes, tongue, etc. , of bathing, mud plastering of any part of patient. Observes urine, stool and body, massaging, regulating of diet, sputum, if necessary, and applies findings. May use design of orthopaedic brace and modern equipment also in diagnosing prosthesis. Selects materials, making cast diseases. May prescribe medicines such as measurements, model modifications, and Legiams, Bhaspams, Kasayam, layouts. Performs fitting, including static Chooranam, Senthooram eye ointment, and dynamic alignments. Evaluates brace etc. May specialize in skin and prosthesis on patient and makes disease, eye disease, peptic ulcer (without adjustments to assure fit, function, and operation) etc. May prescribe medicines quality of work. Instructs patient in use of for general improvement of health and orthopaedic brace and prosthesis. Prevention of diseases. May instruct Maintains patient records. May supervise patients on the use of medicines, and other support personnel. May supervise precautions with regard to diet to be laboratory activities relating to observed and gives symptomatic development of orthopaedic braces and treatment. May lecture and demonstrate to colleagues and other professionals Elsewhere Classified Code 2269 2269. 0400 Elsewhere Classified Physicians and Surgeons, Other"
